feature,coefficient,std_error,t_value,p_value,CI_lower,CI_upper,abs_t
COMPANY_NAME_ohe_472,-11585.72429519277,5478.902035170914,-2.1146069451178557,0.034463461240998416,-22324.372284127763,-847.0763062577771,2.1146069451178557
COMPANY_NAME_ohe_318,-8343.891170309365,3946.0719785362094,-2.1144802263349796,0.034474271890193586,-16078.192248240335,-609.5900923783947,2.1144802263349796
COMPANY_NAME_ohe_581,-13456.852240218732,6373.161218263144,-2.111487812619007,0.034730404370126866,-25948.248228014494,-965.4562524229696,2.111487812619007
COMPANY_NAME_ohe_471,-8161.342163952537,3868.6220076956874,-2.1096251191554827,0.03489065894869503,-15743.841299036085,-578.8430288689897,2.1096251191554827
COMPANY_NAME_ohe_666,51484.83793378803,24413.727266380767,2.108847918715217,0.034957710897330685,3633.9324916817277,99335.74337589434,2.108847918715217
COMPANY_NAME_ohe_774,-11513.329743370643,5461.395808446148,-2.1081295235121154,0.035019787318013806,-22217.66552792509,-808.9939588161924,2.1081295235121154
COMPANY_NAME_ohe_577,-1705.2266417560616,809.1318915496395,-2.1074767408935426,0.03507627574944472,-3291.125149193355,-119.3281343187682,2.1074767408935426
COMPANY_NAME_ohe_404,-9000.96230756009,4274.227922102781,-2.105868585298069,0.03521576916105218,-17378.44903488154,-623.4755802386389,2.105868585298069
COMPANY_NAME_ohe_515,-14278.74759181872,6792.4920094376,-2.1021368257746333,0.03554129181832866,-27592.031930316414,-965.4632533210224,2.1021368257746333
COMPANY_NAME_ohe_714,-14342.441099646814,6823.995681169343,-2.1017658524058636,0.035573791790359355,-27717.472634738726,-967.4095645549023,2.1017658524058636
COMPANY_NAME_ohe_684,-5959.656552563151,2835.689924368262,-2.1016601643745836,0.03558305547165408,-11517.608804324944,-401.70430080135793,2.1016601643745836
COMPANY_NAME_ohe_408,-3384.549394314275,1611.1547563148865,-2.1006978882994365,0.035667494821102874,-6542.412716691453,-226.6860719370975,2.1006978882994365
COMPANY_NAME_ohe_415,7685.185667246844,3658.5535710085533,2.1006076631340043,0.03567542080125419,514.42066807008,14855.950666423607,2.1006076631340043
COMPANY_NAME_ohe_573,-11722.269649196072,5580.526296154097,-2.1005670481787084,0.03567898918008661,-22660.101189658104,-784.4381087340425,2.1005670481787084
COMPANY_NAME_ohe_193,4382.778886495943,2086.688517349195,2.100351274306893,0.03569795190640246,292.86939249152056,8472.688380500365,2.100351274306893
COMPANY_NAME_ohe_720,36136.4640433584,17210.71908308348,2.0996487054905884,0.03575975491797734,2403.4546405147776,69869.47344620203,2.0996487054905884
